0:1:1:110	Leaf terminal cluster 0:1:1:110	Leaf terminal cluster 0:1:1:110
0:1:3:14	Leaf terminal cluster 0:1:3:14	Leaf terminal cluster 0:1:3:14
0:2:2:7:11	Leaf terminal cluster 0:2:2:7:11	Leaf terminal cluster 0:2:2:7:11
0:1:5:84	Leaf terminal cluster 0:1:5:84	Leaf terminal cluster 0:1:5:84
0:1:2:67	Leaf terminal cluster 0:1:2:67	Leaf terminal cluster 0:1:2:67
0:1:8:1:5	Leaf terminal cluster 0:1:8:1:5	Leaf terminal cluster 0:1:8:1:5
0:2:1:1:323	Leaf terminal cluster 0:2:1:1:323	Leaf terminal cluster 0:2:1:1:323
0:2:2:1:2:3	Leaf terminal cluster 0:2:2:1:2:3	Leaf terminal cluster 0:2:2:1:2:3
0:1:3:57:3	Leaf terminal cluster 0:1:3:57:3	Leaf terminal cluster 0:1:3:57:3
0:1:1:3	Leaf terminal cluster 0:1:1:3	Leaf terminal cluster 0:1:1:3
0:2:1:1:45	Leaf terminal cluster 0:2:1:1:45	Leaf terminal cluster 0:2:1:1:45
0:182	Leaf terminal cluster 0:182	Leaf terminal cluster 0:182
0:1:2:12	Leaf terminal cluster 0:1:2:12	Leaf terminal cluster 0:1:2:12
0:2:2:8:12	Leaf terminal cluster 0:2:2:8:12	Leaf terminal cluster 0:2:2:8:12
0:1:1:3:1	Leaf terminal cluster 0:1:1:3:1	Leaf terminal cluster 0:1:1:3:1
0:2:2:19:9	Leaf terminal cluster 0:2:2:19:9	Leaf terminal cluster 0:2:2:19:9
0:178	Leaf terminal cluster 0:178	Leaf terminal cluster 0:178
0:101	Leaf terminal cluster 0:101	Leaf terminal cluster 0:101
0:2:2:1:2:29	Leaf terminal cluster 0:2:2:1:2:29	Leaf terminal cluster 0:2:2:1:2:29
0:2:2:8:21	Leaf terminal cluster 0:2:2:8:21	Leaf terminal cluster 0:2:2:8:21
0:2:1:2:24	Leaf terminal cluster 0:2:1:2:24	Leaf terminal cluster 0:2:1:2:24
0:2:2:1:1:36	Leaf terminal cluster 0:2:2:1:1:36	Leaf terminal cluster 0:2:2:1:1:36
0:3:3	Leaf terminal cluster 0:3:3	Leaf terminal cluster 0:3:3
0:136	Leaf terminal cluster 0:136	Leaf terminal cluster 0:136
0:2:1:1:158	Leaf terminal cluster 0:2:1:1:158	Leaf terminal cluster 0:2:1:1:158
0:2:2:1:4:4:2	Leaf terminal cluster 0:2:2:1:4:4:2	Leaf terminal cluster 0:2:2:1:4:4:2
0:407	Leaf terminal cluster 0:407	Leaf terminal cluster 0:407
0:157	Leaf terminal cluster 0:157	Leaf terminal cluster 0:157
0:1:1:28	Leaf terminal cluster 0:1:1:28	Leaf terminal cluster 0:1:1:28
0:2:2:15:6	Leaf terminal cluster 0:2:2:15:6	Leaf terminal cluster 0:2:2:15:6
0:1:2:92	Leaf terminal cluster 0:1:2:92	Leaf terminal cluster 0:1:2:92
